Code	Name	Address	Tel No	Fax No	Email	Contact Person	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                    
003-COS	CALOOCAN OIL SEAL CORP	unit 78 grace park commercial complex 4th ave grace park caloocan city	3659366	3659367		SALES	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                    
003-CAP	CALTEX PHILS INC	pandacan terminal	8411683	8136076		DAVID LAYUSA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                        
003-CAT	CAMANAVA TILES CENTER	malabon	281-4733	281-4733		MR. MATEO / SOL  640-4844	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                              
003-CNS	CANADA SAWMILL CORP	92 macarthur highway valenzuela metro manila	2916406			MARCOS ONG/ALING MARING	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                      
003-CAM	CANON MARKETING	Marvin Plaza Bldg. 2153 Don Chino Roces Avenue, Makati City	(632) 812-6047 / (632) 884-9000  / 346-8514 / 884-9030	(632) 884-9035	www.canon.com.ph / info@canon.com.ph	REY LICUAN / CORY PAHATI ( 884-9090 LOCAL 9322 )	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                 
003-CBG	CAPT.BENITO GRANADA(ZAMBOANGA)	zamboanga city	7412239/0918252522418			CAPT BEN GRANADA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                  
003-CRD	CARDZONE TRADING	591 juan luna st binondo manila	2444627			JIMMY D LIM	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                  
003-CRL	CARLSON TRADING	649 oriente st binondo manila	2410181	2411028		MIRIAM	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                   
003-CAR	CARS VULCANIZE SHOP		2580306				TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
003-CHB	CASH BALINTAWAK MARKET	balintawak market quezon city				INDAY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                           
003-CBS	CASH BLUMINTRIT SURPLUS	manila				CASH/EDWIN	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                            
003-CHP	CASH PURE GOLD	pritil tondo manila				ANDY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                              
003-CHV	CASH VITAS VELASQUEZ	tondo manila				MANG TOKTOK	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                        
003-CHZ	CASH ZAMBOANGA	zamboanga				PHERREX	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
003-CMI	CASH/MISCELLANOUS	anywhere in manila				CSH	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                             
003-CHG	CASH AGORA MARKET	nbbs h lopez ave navotas metro manila				MARKET VENDOR	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                
003-CBM	CASH BAYAN MALABON MARKET	malabon bayan				BOYONG	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                       
003-CGE	CASH GENERAL SANTOS CITY(GENSAN)	general santos city	0833012447			MARTY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                 
003-CJP	CASH JULIE PINEDA	e 43 kapitbahayan navotas metro manila	2827845	2826538		JULIE PINEDA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                  
003-CMA	CASH MANILA AUTO PARTS	manila/kalookan	2828812			DRIVER/PURCHASER	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                       
003-CAS	CASH SUPERMARKETS	makro puregold mercury agora	base	base		C/O ARNIE MATITO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                              
003-CVT	CASVIC TRADING CORP	6 miguel st cor domingo st carmel ii subd brgy bahay toro project 6 QC	9281434/9208465			FERDINAND CASBALL	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                          
003-CEL	CELINO MARKETING(GENSAN)	purok villanueva calumpang gen santos city					TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                 
003-CEP	CENTRAL PHIL MARKETING CORP	67 Gov.Pascual cor.J.P. Marcelo St.,Northern Hill, Potrero,  Malabon City - 990-6276	990-6270 to 75	990-6276		JOEY/JOVIE	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                    
003-CXP	CEXPRESS PLUS	unit a dynasty tower bambang cor jose abad santos manila	2539832	2531024		JENNIFER BAUTISTA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                               
003-CPR	MECHEE PUCK REFRIGERATION INC	1281 soler manila	2447091/2440168			MERCY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                 
003-CON	CHEVRON (PHILIPPINES) INC.	6/f 6750 ayala ave makati city	8411618/09188015086	8411606/8411615		ROEL FAUSTINO/DAVE LAYOSA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                
003-CCP	CHINA CITY PLASTIC ENTERPRISES (BMJB)	999 gov pascual avenue potrero malabon city	3613635			ROSEMARIE O TAI/AGNES	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
003-CHU	CHUA MASTER STEEL CORP	citio gitna bo kaybiga novaliches cal city	9373519/9373520				TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                    
003-CHN	CHUN SHING HARDWARE	sta cruz manila	7358015/7332715	7356188		INDAY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                      
003-CBL	CITIBLINDS INC	358 gregorio araneta ave quezon city	7136430	7135185		BOY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                
003-CJC	CJ CONSTRUCTION	dagat dagatn malabon city	2851110,			JIMMY TAN	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                          
003-CLE	CL-26 ELECTRICAL SUPPLY (GENSAN)	gen santos city					TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                    
003-CRK	CLARKSON INDUSTRIAL SUPPLY INC	1417 severino reyes st sta cruz manila - 740-4977	743-26-50 / 732-65-55,711-8602 Ellen	749-00-66 / 74 / 01 / 741-84-98/740-4977/7326555		REX -425-2911/,6648102FAX#255-7711-CEL.#09273165850	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                             
003-CXL	CLIXLOGIC INC (APC SERVICE CENTER)	ground floor j &l bldg 251 edsa mandaluyong city	180016510302	7277892/7242267		LAWRENCE R AQUINO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                     
003-COM	CMO MARKETING (GENSAN)	blk 2 lot 2 sarangani homes 1 g s c	5525349/09177144174	(083)5525349		ANTONIO ORBASE	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                             
004-DOC	DOCO MACHINE SHOP(GENSAN)	bula gen san city	22-81			A PANCHO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                            
004-DOL	DOLPHIN COMMERCIAL	NBBN Navotas	281-3672	281-7594		VIC AND BENNY YU	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                     
004-DSH	DOMINGA SECOND HAND DEALER	2829-31 juan luna st tondo manila	2538988			DOMINGA C LI	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
004-DSM	DOMINGO STAINLESS METAL CRAFT AND MOTORS WORKS	68 m sioson st dampalit malabon city	4461936/09196065531			RONALD P DOMINGO (OWNER)	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                      
004-DAM	DONATO A MANORCA	156 fmanalo st san juan m m	7243490			DONATO A MANORCA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                 
004-DON	DONG AUTO REPAIR SHOP	bacog navotas				DONG	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                             
004-DOG	DONG INDUSTRIAL SALES	manila					TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
004-DRE	DREAMERS GAS TRADING	#(gas petronas dealers-gensan branch),national highway general santos city	0833027777	0832282518		GERALD DURENDES	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                  
004-DEJ	DREJJ ENTERPRISES	3 anthem st sta cecilla vill pamplona las pinas city	(pgr)141110972/8019667			JOSEFINA BAUTISTA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
004-DXR	DXR TRADING AND INDUSTRIAL SALES	616 sto nino st plainview subd mandaluyong city	531-7193/09178432866	7190097		RONALD SANTOS/JANNETH	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                    
004-DYC	DYNAMIC CASTINGS (CEBU)	473 gerardo quano st mandaue city	346-03-00 / 635-78-20	032-346-0753 / 0922-8512412	cebu@dynacast.ph	MICHELLE(6377263)/ERWIN(6357820)/MARITES	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                   
004-DYT	DYNAMIC TEAM HARDWARE & CONSTRUCTION SUPPLY (GENSAN)	general santos city	0835526238	0835526238		MARK GO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                 
005-EBI	EBARA BENGUET INC	canlubang industrial estate cabuyao 4025 laguna/po box 3461 mcpo 1274 makati city	63(49)5491806(2)832623	63(49)5491915		CRIS C DE VERA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                
005-EBC	EB CASTILLO TRADING INC	393 north bay blvd navotas m m	2823917/2823918			NANETTE MARY ANN C PANGILINAN/MERLY	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                            
005-ECM	ECM HOSEMASTER GEN MDSE	293 rizal ave ect bet 8th & 9th ave grace park caloocan city	3341309/09273265108			EDDIE T COLICO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                               
005-EAC	EAC CHEMICALS (PHIL) INC	4th floor builders centre building 170 salcedo st legaspi village 1229 makati city	8129385/09178120031	8105897/8134824		REDERICK S CAMUA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                       
005-ECC	ECCO HARDWARE INC (GENSAN)	pioneer ave gen san city	(083)5523721	(083)5524897		RICARDO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                  
005-ECD	ECD MARINE SUPPLY	kaunlaran village malabon city				BOY	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                 
005-ECH	ECHLIN MOTOR SUPPLY	694 5 a bonifacio ave quezon city	3614295/3615557			RUDY LEONON	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
005-ERS	ED RADIATOR SHOP	c3 rrd cor bangus ph i-c nbbs navotas m m	2707875/3660608			EDUARDO B FEDERICO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                         
005-EES	EDDIE ELECTRICAL SHOP	navotas m m	09208248190			EDDIE	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                   
005-EWC	EDDIE ROXAS (WELDER CONTRACTOR)	#268 sitio 6 gov pascual catmon malabon city	4464506 / 0929-855-2037			EDDIE ROXAS	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                      
005-EDL	EDGARDO LLAS	#2355 nickel st san andres bukid manila	5644348			EGAY	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                     
005-EGA	EGA VULCANIZING SHOP	#68 honorio lopez blvd navotas m m	2835479	2835480			TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                               
005-ELP	ELECON POWER HAUS INC	743 alonzo st sta cruz manila	3393047 to 48/7331993	7344297		ARDWIN YU	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                            
005-ELW	ELECTRO WORLD	4th floor SM super market manila	5248310/5644348			REY VELASCO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                            
005-ERK	ELECTROMARK CENTER	571 573 # g puyat st manila	7330421	7330501		LILY A DY	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                               
005-EHC	ELEVEN HARDWARE CO INC	balintawak br 1 eleven rd quezon city	3615198			MARISSA	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                          
005-ELF	ELFA CORP	1329 m naval st navotas m m	282-9644/2829643				TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                               
005-EJU	E>	makar junction national highway gen san city	09185340138			PRUDENCIO S PALACIO	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                       
005-EMA	EMA AIRCON SALES & SERVICE CENTER	gensan drive zone 1 koronadal city	(083)2286263	09162170142		ALLAN ARINZOL	TPJ	06-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                            
