Code	Name	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FUMI	cubic meters	ARNIE	08-APR-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CM3	Cubic Meters	ARNIE	08-APR-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
kgs	Kilogram/s	ARNIE	28-AUG-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DYS	Day/s	CONRAD	23-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BLKS	Block/s	CONRAD	23-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
THR	Tug-Hr	CONRAD	23-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MVS	Move/s	CONRAD	23-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MPD	Man/Day	CONRAD	23-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LPD	Line/day	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LPT	Line/ time	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
OCC	Occasion/s	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PPD	piece/ day	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
VIS	visit/s	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TIM	Time/s	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SQM	Square meter	CONRAD	25-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PTS.	Point/s	CONRAD	28-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CPS	Copy/s	CONRAD	28-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Dump	Dump Truck	RENE	15-MAR-2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
REE	Reel/s	NERRY	02-JAN-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DISP	DISPENSER	CARLO	29-NOV-2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BUNDLE	Bundle/s	JMEJOS	26-DEC-2008                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
KWH	Kilo Watt Hour	ARNIE	27-MAY-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
KIT	Kit/s	NERRY	19-JUN-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SHT	Shot/s	NERRY	22-OCT-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
STR	Strip/s	NERRY	08-NOV-2009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PSN	Person/s	CONRAD	16-JAN-2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BND	Bend/s	CONRAD	16-APR-2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
/INCH	Inches	CONRAD	15-APR-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LNE	Line	CONRAD	30-SEP-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LFT	Lift/s	CONRAD	30-SEP-2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
